"id","city","job_title","job_category1","job_category2","job_category3","job_industry1","job_industry2","job_industry3","salary_minimum","salary_maximum","num_vacancies","career_level","experience_years","post_date","views","job_description","job_requirements","payment_period","currency"
"516e4ed","cairo","Sales & Marketing Specialist","Sales_Retail_Business Development","Marketing","Select","Telecommunications Services","Select","Select","2000","3500","8","Entry Level","0-1","2014-01-01 06:01:41","2602","<p><strong>Qualifications</strong>:<br /><br /> &bull; Graduates and Undergraduates are encouraged to apply.&nbsp;<br /> &bull; Telesales experience 6 Months at least. <br /> &bull; Proficiency in using MS Office application &rdquo;Word, Excel&rdquo;<br /> &bull; Strong verbal communication and negotiation skills<br /> &bull; Demonstrates a positive, enthusiastic, friendly and professional attitude</p>
<p><strong><span style=""text-decoration: underline;"">&nbsp;</span></strong></p>
<p><strong><span style=""text-decoration: underline;"">English Skills: Fluent</span></strong> <br /> <br /> <br /> <strong><span style=""text-decoration: underline;"">Job Details and Benefits:<br /></span></strong><br /> &bull; Available Start Date: In 2 Weeks<br /> &bull; Working Hours: 8.5 hours<br /> &bull; Location: Maadi, Cairo</p>
<p>&nbsp;</p>
<p><strong><span style=""text-decoration: underline;"">Job Package:</span></strong><br /> . <strong>Basic salary 2000 EGP</strong> + Commission when <strong>Target</strong> is Acheived</p>","NULL","Per Month","Egyptian Pound"
"a361ef59","cairo","German Training Coordinator","Customer Service_Support","Administration","Human Resources","Translation and Localization","Business Services - Other","Education","1000","5000","8","Entry Level","0-2","2014-01-01 20:01:18","2213","<p>&bull;Placing jobs' ads on various websites for the purpose of creating a big pool of candidates<br />&bull;Handling CV&rsquo;s whether electronic or hard copy from receipt to short listing and filing.<br />&bull;Generating a pool of qualified candidates, according to customer requirements.<br />&bull;Following up with both clients and short listed candidates till the end of the recruitment process<br />&bull;Keeping social media means up to date (Face book, website)<br />&bull;Updating recruitment system to make searching for the right candidate easier<br />&bull;Maintaining and updating all recruitment contracts and invoices filing<br />&bull;Maintains Employee Handbook with updated resolutions and other pertinent information, as needed.<br />&bull;Assisting the admin and personnel department when necessary<br />&bull;Self motivated and willing to learn and grow<br />&bull;Business oriented, achiever with proven track record<br />&bull;Ability to learn new tasks quickly, creativity, Presentable<br />&bull;Ability to work under pressure<br />&bull;Ability to work individually or as an active team member<br />&bull;Ability to build excellent relations.</p>
<p><strong>Job Qualification:</strong></p>
<ul>
<li>BACHELOR DEGREE is MUST</li>
<li>Fresh graduates max in last 2 years</li>
<li>Good in ENGLISH written &amp; speaking</li>
<li>Very good GERMAN language written &amp; speaking</li>
</ul>
<p>&nbsp;</p>","NULL","Per Month","Egyptian Pound"
"7226ce78","cairo","Junior Software Developer","IT_Software Development","Select","Select","Computer Software","Select","Select","2000","2500","1","Entry Level","2","2014-01-02 11:01:03","2940","<span style=""text-decoration: underline;""><strong>1. JOB SUMMARY<br /><br /></strong></span>
<p>&bull; Software developers are the brains behind the development, design, installation, testing and maintenance of software codes, systems and programs.<br />&bull; As software codes, has an important part in making a business more efficient and helping to provide a better IT service.<br />&bull; He/she might be responsible for the replacement of a whole system based on the specifications provided by an IT analyst, in addition to modifying it and integrating it into the existing network.<br />&bull; The code should be created to link the systems together.<br /><br /><span style=""text-decoration: underline;""><strong>2. SKILLS REQUIRED<br /><br /></strong></span></p>
<p>&bull; Has the ability to interpret and follow technical plans.<br />&bull; Creative approach to problem solving.<br />&bull; Has the ability to work with people at all levels, including non-technical staff.<br />&bull; He has the ability to work under pressure and meet deadlines.<br />&bull; An understanding of confidentiality and data protection issues.<br />&bull; Ability to solve problems quickly and completely.<br />&bull; Good communications skills.<br />&bull; Team-working skills.<br />&bull; An appreciation of the bigger business picture, not just its IT requirements.<br />&bull; Analytical and commercial experience.<br />&bull; Any organizational skills.<br /><br /><br /><span style=""text-decoration: underline;""><strong>3.JOB DUTIES AND RESPONSIBILITIES<br /><br /></strong></span></p>
<p>&bull; Develop programming systems making specific determinations about system performance.<br />&bull; Review and repair legacy code.<br />&bull; Expected to conduct system analysis and development, with limited support from professional staff, to keep our systems current with changing technologies.<br />&bull; Research and recommend software tools to management.<br />&bull; Review, to the extent possible, changes in code and the environment that will affect system performance.<br />&bull; Provide recommendations to management concerning issues of programmer productivity and software development management.<br /><br /><br /><span style=""text-decoration: underline;""><strong>4. EDUCATIONS AND EXPERIENCE<br /><br /></strong></span></p>
<p>&bull; Graduated from the faculty of Engineering - Computer Science Section.<br />&bull; Good Knowledge of Multi-threading &amp; Parallel programming<br />&bull; Deep understanding of the .Net Framework (3.5, 4 and 4.5) and related technologies<br />&bull; Has very good knowledge in Database development skills (SQL, Oracle).<br />&bull; Object-oriented analysis, design and development<br />&bull; Has very good skills with:<br />&bull; C++<br />&bull; C#<br />&bull; UML<br />&bull; .NET<br />&bull; Ajax<br />&bull; LINQ<br />&bull; WPF<br />&bull; MVVM<br />&bull; WCF<br />&bull; ADO Entity Framework<br />&bull; Design Patterns<br />&bull; Dependency Injection<br />Web service</p>","NULL","Per Month","Egyptian Pound"
"f4b2bcd6","cairo","Application Support Engineer","IT_Software Development","Select","Select","Telecommunications Services","Select","Select","2000","3500","1","Entry Level","1-2","2014-01-02 12:01:23","2042","<strong><span style=""text-decoration: underline;"">Position, Experience and skills required:</span></strong><ol>
<li>One or Two years&rsquo; experience on Similar position.</li>
<li>Microsoft Certified System Engineer windows 2003 (Similar certificate for windows 2008 is a plus).</li>
<li>Experience in installing and operating Enterprise Service Side middleware (Web Servers, Applications Servers, Others) (Java Application Servers is a plus)</li>
<li>Good knowledge with Oracle DB (Oracle DBA certificate is a plus)</li>
<li>Experience in dealing with and supporting external customers.</li>
<li>Linux Administration knowledge is a plusNetwork certification or background is a plus.</li>
<li>Ability to work on Night Shifts and Week Ends. In addition to Normal day work.</li>
<li>Flexibility to work extended Hours and to be on call.</li>
</ol>
<p><strong><span style=""text-decoration: underline;"">Job&rsquo;s Responsibilities:</span></strong></p>
<ul>
<li>Keeping running operations and level conforms to the agreed on SLAs</li>
<li>Continuously and closely monitoring the running applications and reports any up normal behavior. And trouble shoots problems to reach a solution.</li>
<li>Preparing problem logs for future auditing and studying.</li>
<li>Helping in operational tasks like importing the content and managing content management system, in addition to assisting in preparing user manuals and training.</li>
<li>Maintaining healthy and updated backup of source code and application sources.</li>
<li>Helping in installing and deploying applications. And running schedule based applications.</li>
<li>Contacting vendor support teams to effectively reports problems and fix them. In addition to communicating with other internal teams members to solve problem and maintain running systems.</li>
</ul>
<p>&nbsp;</p>","NULL","Per Month","Egyptian Pound"
"3fee6f73","alexandria","Electrical Maintenance Engineer","Engineering","Select","Select","Food and Beverage Production","Select","Select","5000","8000","1","Experienced (Non-Manager)","1-3","2014-01-21 13:45:56","5684","Job Title: Electrical Maintenance Engineer<br />Location: Alexandria - Borg El Arab Factory<br />Function: Supply Chain Department<br /><br />
<p><span style=""text-decoration: underline;""><em><strong>Requirements:</strong></em></span><br /><em><strong>&bull; 1-3 Years of Experience in Electrical Engineering Filed is a MUST</strong></em><br /><em><strong>&bull; Working Experience in an FMCG is an Asset<br /><br /></strong></em></p>
<p><strong>Job Description:</strong></p>
<p>Main Job Purpose:<br />(A concise statement setting out the main purpose and objectives of the job.)<br />Is professionally competent and qualified to operate safely at a post apprentice level in either Mechanical or Electrical Engineering. The Discipline requirement is set by the factory dependant on the Skills balance it seeks.<br />The Single-Skilled Engineering is responsible for ensuring maximum availability of production plant across the Sourcing Unit utilising excellent technical skills for improvements and modifications and sound application of TPM methodology. All actions must contribute to the delivery of operational KPIs (Productivity, Quality, Safety, Health and Environment, Cost, Delivery, Morale and Innovation (PQSCDMI)). She/he must be a mentally agile and advanced problem solver who is able to maximise machinery operations whilst minimising waste. The Single-Skilled Technician must be able to coach and develop the Operator's core technical awareness and skills.<br />Key Skills and Competencies:<br />(Describe key skills and competencies required by the job holder and where relevant expected end results).<br />&bull; Technical &ndash; Dependant on Engineering Discipline the Single-Skilled Technician should be technically expert in the core manufacturing requirements specific to her/his qualification:<br />o Mechanical - Maintenance Specialist and user of Condition Based Monitoring.<br />o Mechanical - Deep knowledge of Automation and Control.<br />o Mechanical - Knowledge of Machining and Fabrication.<br />o Mechanical - Conduct machinery assembly, sub-assembly and component repairs.<br />o Electrical - Qualified to establish power distribution systems and electrical control circuits.<br />o Electrical - Able to install electrical drive systems and Control Loops.<br />o Electrical - Optimise control instrumentation and sensors.<br />o PLC - Able to conduct software programme modifications and fault finding. Manage Programme Logic Control and Supervisory Control and Data Acquisition Networks (eg Programme modifications, Force Devices and fault finding).<br />o PLC - Produce a Program for a PLC to Control a Specified Process supported by appropriate documentation.<br />&bull; Safety - Utilise appropriate safety and environmental procedures for people, processes, materials, products and equipment to ensure a safe working environment for the whole team.<br />&bull; Environment - Reduce costs due to waste and minimise impact to health, safety and the environment through working to eliminate waste and through the correct management of waste and hazardous materials.<br />&bull; Quality - Ensure that all aspects of Quality within the area of responsibility are in accordance with local Quality procedures to protect and promote the brand and product.<br />&bull; Leadership - Promote the development of a highly effective team through strong communication, leading by example whilst keeping focused on goals and targets. Great teams and great leaders will achieve superior performance.<br />&bull; Continuous Improvement - Use performance measures to identify and prioritise losses in production area. Apply rigorous Cost Deployment and the Zero loss concept to eliminate losses.<br />&bull; WCM - Knowledge and understanding of the key principles of WCM and the impact this has on the Key Performance Indicators in the production area (PQSCDMI); must understand the critical inter-relation between WCM and TPM.<br />&bull; Problem Solving - Has the ability to identify, prioritise and address problems using appropriate tools and techniques that eliminate recurrence.<br />&bull; Project Management &ndash; Achieve the desired outcomes of the project in line with agreed plans using appropriate project management tools and techniques to ensure the efficient use of technical, financial and human resources.<br />&bull; Business Awareness - Understanding of the need to meet changing demands and the role of marketing and product innovation in growing the business and increasing the company's share.</p>","NULL","Per Month","Egyptian Pound"
"22eb5fcb","cairo","IT Administrator","IT_Software Development","Select","Select","Retail","Select","Select","3000","5000","1","Manager","3 - 5","2014-01-02 17:00:31","1644","&bull; Maintain the IT Retail Management System ""RMS"" ensuring that all assets are recorded and updated/removed<br />when required.<br />&bull; Provide general administrative support to the IT Support Team and Director of Learning Technologies.<br />&bull; Maintain staff accounts for email, VLE, management information system and action approved user<br />account updates.<br />&bull; Provide email support for parent queries relating to The School Portal and general IT access.<br />&bull; Conduct a daily IT checklist for each individual site in order to proactively prevent regular or common<br />faults.<br /><br /><br /><strong>Qualifications:</strong><br /><br /><span>&bull;graduate of Faculty of computer Science, Engineering</span><br /><span>&bull;Full knowledge of the system RMS (Retail Management System) is must&nbsp;</span><br /><span>&bull;Experience: 3 -5 years. (minimum 3 years)</span>","NULL","Per Month","Egyptian Pound"
"e9b78c6e","6th of october","e-payments System Administrator","IT_Software Development","Select","Select","Computer Software","Select","Select","3000","5000","1","Experienced (Non-Manager)","1-3","2014-01-02 15:01:17","2335","<p>1-Configure and Archive Data for the banks and government authorities.</p>
<p>2- Basic troubleshooting and handle the e-Pay system operations, and report any errors or bugs and participate in work around and applying solutions.</p>
<p>3- Monitor and ensure the availability of the application on a regular basis.</p>
<p>4- Test the new versions and patches of all the systems and report any errors or bugs</p>
<p>5- Archive the approval forms received from banks for the purpose of creating new configuration on different systems.</p>
<p>6- Archive the approval forms which is generated by the E-payment team and approved by the E-Payment Manager to request any system change from the System Administration Team.<br /><br /><strong>Requirements:</strong><br /><br /></p>
<div>
<div>
<ul>
<li>&nbsp; A Bachelor Degree is required, Preferably&nbsp;in Accounting Egnlish Section.</li>
<li>&nbsp; 1-3 years&rsquo; experience in banking and transactions processing fields</li>
<li>&nbsp; Excellent interpersonal, communication and customer support skills.</li>
</ul>
</div>
</div>","NULL","Per Month","Egyptian Pound"
"6f23fec0","cairo","PROCESS ENGINEER","Engineering","Select","Select","Chemicals/Petro-Chemicals","Oil and Energy","Select","10000","15000","3","Experienced (Non-Manager)","5+","2014-01-02 15:01:58","0","&bull; Assisting in preparation of the Project overall Schedule / interface matrices / Vendors ITTs / Project Execution Plans.<br />&bull; Preparing SURU model (Start up and Ramp Up model) in details for SRPC Project.<br />&bull; Reviewing the Licensors/Contractors data Sheets and Utilities consumption against the H&amp;M balances.<br />&bull; Using VMGsim software for crude characterization.<br />&bull; Performing all the process engineering calculations needed during the optimization process.<br />&bull; Obtaining the typical process units yields/utilities consumptions from the selected licensors and use them for tuning the LP model.<br />&bull; Identifying the final Refinery configuration and main process units/utility units&rsquo; capacities according to the LP outputs. Preparing documents describing the whole project from the process engineering point of view such as:<br />- The global refinery block flow diagram in Visio formats.<br />-The Proposed staged construction process units&rsquo; descriptions.
<p>FEED Engineering Phase:</p>
<p>&bull; Reviewing the Licensors (SHELL and Axens) Proposals /Base of Design for each unit.<br />&bull; Finalizing with the Licensors the Process units Design Questionnaires/Duty Specifications.<br />&bull; Providing the Licensors with the wide refinery Basic Engineering Design Data.<br />&bull; Attending PFDs/P&amp;IDs review meetings at the licensors offices and reviewing the Licensors/Contractors equipment&rsquo;s data sheets and utilities consumptions against the H&amp;M balances.<br />&bull; Reviewing the Contractors&rsquo; Operating Manuals, Process Control Descriptions, Descriptions of Interlocks, Cause and Effect Diagrams and HAZOP and Safeguarding reports.<br />&bull; Reviewing the process units chemical &amp; plant effluent summaries.<br />&bull; Conduct an overall utility balance of the plant<br />&bull; Reviewing the utilities contractors proposed schemes for the water and waste water units.</p>
<p>&nbsp;</p>","NULL","Per Month","Egyptian Pound"
"6f23fec0","","PROCESS ENGINEER","Engineering","Select","Select","Chemicals/Petro-Chemicals","Oil and Energy","Select","10000","15000","3","Experienced (Non-Manager)","5+","2014-01-02 15:01:58","0","&bull; Assisting in preparation of the Project overall Schedule / interface matrices / Vendors ITTs / Project Execution Plans.<br />&bull; Preparing SURU model (Start up and Ramp Up model) in details for SRPC Project.<br />&bull; Reviewing the Licensors/Contractors data Sheets and Utilities consumption against the H&amp;M balances.<br />&bull; Using VMGsim software for crude characterization.<br />&bull; Performing all the process engineering calculations needed during the optimization process.<br />&bull; Obtaining the typical process units yields/utilities consumptions from the selected licensors and use them for tuning the LP model.<br />&bull; Identifying the final Refinery configuration and main process units/utility units&rsquo; capacities according to the LP outputs. Preparing documents describing the whole project from the process engineering point of view such as:<br />- The global refinery block flow diagram in Visio formats.<br />-The Proposed staged construction process units&rsquo; descriptions.
<p>FEED Engineering Phase:</p>
<p>&bull; Reviewing the Licensors (SHELL and Axens) Proposals /Base of Design for each unit.<br />&bull; Finalizing with the Licensors the Process units Design Questionnaires/Duty Specifications.<br />&bull; Providing the Licensors with the wide refinery Basic Engineering Design Data.<br />&bull; Attending PFDs/P&amp;IDs review meetings at the licensors offices and reviewing the Licensors/Contractors equipment&rsquo;s data sheets and utilities consumptions against the H&amp;M balances.<br />&bull; Reviewing the Contractors&rsquo; Operating Manuals, Process Control Descriptions, Descriptions of Interlocks, Cause and Effect Diagrams and HAZOP and Safeguarding reports.<br />&bull; Reviewing the process units chemical &amp; plant effluent summaries.<br />&bull; Conduct an overall utility balance of the plant<br />&bull; Reviewing the utilities contractors proposed schemes for the water and waste water units.</p>
<p>&nbsp;</p>","NULL","Per Month","Egyptian Pound"
"a47f2d65","cairo","Senior Software Engineer","IT_Software Development","Engineering","Select","Computer Software","Information Technology Services","Select","3500","6000","2","Experienced (Non-Manager)","2+","2014-01-02 15:01:59","1839","<strong>Concept:</strong><br />Data Structure, Design Patterns, UML,Object Modeling, OOP
<p><strong>Programming:</strong><br />C#, Threads, Source Control, Web Standards, Unit Testing, Mocking, SQL</p>
<p><strong>Web:</strong><br />ASP.NET, ASP.NET MVC, HTML5, JavaScript</p>
<p><strong>Knowledge:</strong><br />Information Analysis, Software Design, Software Development, Team Player, Problem Solver</p>","NULL","Per Month","Egyptian Pound"
